,LE1-29,DASS1-21,EX1-5,SBS1-6,RELBEH1-5,LOCUS1-6,GOD1-14,SWLS1-5,DAQ1-15,JONG1-12
11,Have you ever had sexual intercourse when you didn't want to because someone forced you or threatened to harm you if you didn't?,I find myself getting agitated.,,,,,Angry,,Are you afraid that you may be buried before you are really dead?,I am scared that death will extinguish me as a person.
12,Has a parent or guardian ever drunk or used drugs so often that it caused problems for you or your family?,I find it difficult to relax.,,,,,Punishing,,Does the thought of leaving loved ones behind you when you die disturb you?,Never feeling anything again after I die upsets me.
13,Have you ever been physically or emotionally abused by a parent or guardian?,I feel down-hearted and blue.,,,,,Jealous,,Do you worry that those you care about may not remember you after your death?,Do you worry about dying? 
14,Have you ever been physically or emotionally abused by a spouse or someone who was in a romantic relationship with you?,I am intolerant of anything that keeps me from getting on with what I am doing.,,,,,Terrifying,,Does the thought worry you that with death you may be gone forever?,Does it bother you that you may die before you have done everything you wanted to?
15,Have you ever been physically or emotionally abused by anyone else?,I feel I am close to panic.,,,,,,,Are you worried about not knowing what to expect after death?,Do you worry that you may be very ill for a long time before you die?
16,Have you ever witnessed a parent or guardian being physically or emotionally abused?,I am unable to become enthusiastic about anything.,,,,,,,,Does it upset you to think that others may see you suffering when you die?
17,"Have you ever been stalked -- that is, had some someone obsessively follow you or keep track of your activities?",I feel I am not worth much as a person.,,,,,,,,Do you worry that dying may be very painful?
18,"Have you ever lived, worked, or performed military service in a war zone?",I feel that I am rather touchy.,,,,,,,,Do you worry that the persons most close to you won’t be with you when you are dying?
19,Have you ever been kidnapped or held captive?,"I am aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat).",,,,,,,,Do you worry that you may be alone when you are dying?
20,Have you ever been threatened with a gun or physical violence by a stranger?,I feel scared without any good reason.,,,,,,,,Does the thought bother you that you might lose control of your mind before death?
21,Have you ever actually been shot with a gun or physically assaulted by a stranger?,I feel that life is meaningless.,,,,,,,,Do you worry that expenses connected with your dying will be a burden for other people?
22,Have you ever witnessed a stranger shoot or physically assault someone else?,,,,,,,,,Does it worry you that your instructions or will about your belongings may not be carried out after you die?
23,"Have you ever been a refugee -- that is, have you ever fled from your home to a foreign country or place to escape danger or persecution?",,,,,,,,,Are you afraid that you may be buried before you are really dead?
24,Has your mother died?,,,,,,,,,Does the thought of leaving loved ones behind you when you die disturb you?
25,Has your father died?,,,,,,,,,Do you worry that those you care about may not remember you after your death?
26,Has as spouse or someone you were in a romantic relationship with died?,,,,,,,,,Does the thought worry you that with death you may be gone forever?
27,Have any of your brothers or sisters died?,,,,,,,,,Are you worried about not knowing what to expect after death?
28,Have any of your children died? (Do not include miscarriages or abortions.),,,,,,,,,
29,Has anyone else who you were particularly emotionally close to died? (e.g. a best friend or a favourite cousin.),,,,,,,,,
